Ruta,Etiqueta,predictions
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/0.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/1.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/2.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/3.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/4.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/5.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/6.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/7.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/8.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/9.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/10.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/11.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/12.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/13.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/14.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/15.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/16.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/17.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/18.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/19.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/20.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/21.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/22.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/23.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/24.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/25.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/26.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/27.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/28.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/29.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/30.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/31.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/32.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/33.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/34.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/35.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/36.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/37.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/38.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/39.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/40.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/41.wav,,1
/kaggle/input/datosss/MMUSED-fallacy/audio_clips/47_2024/42.wav,,1
